ASIN,keyword,commodity_item,brandName,price,comments,star_level,ranking,DATE
B07DRBBJXC,サンダル+レディース,[KOCOTA] 抗菌防臭素材 スリッパ サンダル 超軽量 滑り止め 男女兼用,KOCOTA,"￥918-￥1,088",302件のカスタマーレビュー,星5つ中の3.9,シューズ＆バッグ - 20位 (, 2018/2/2
B00T44XZXC,サンダル+レディース,[ハワイアナス] ビーチサンダル TOP,havaianas(ハワイアナス),"￥1,081-￥1,998",19件のカスタマーレビュー,星5つ中の3.7,"シューズ＆バッグ - 18,626位 (", 2018/12/5
B07JZV819R,サンダル+レディース,[アティカ] レディース スポーツサンダル Tesla Maya W111,ATIKA(アティカ),"￥1,597-￥2,930",192件のカスタマーレビュー,星5つ中の4.3,シューズ＆バッグ - 696位 (, 2016/8/8
B07Q9KYRHS,サンダル+レディース,[ZHPUAT] サンダル レディース ガールズ ビーチサンダル ローヒール 夏 歩きやすい 滑り止め フラットヒール ビーズ かわいい 美脚 ボヘミアン風,ZHPUAT,"￥999-￥2,399",38件のカスタマーレビュー,星5つ中の4.7,"シューズ＆バッグ - 4,202位 (", 2019/4/3
B01FLUUU76,サンダル+レディース,"サンダル レディース メンズ カジュアル おしゃれ スポーツサンダル カップル ペアお揃い 韓国風 歩きやすい ６色入り (25.0cm, back1)",アニメ専線,null,68件のカスタマーレビュー,星5つ中の3.3,"ホビー - 88,600位 (", 2016/5/13
B07L99MFHW,サンダル+レディース,[クロックス] サンダル ライトライド クロッグ 204592,crocs(クロックス),"￥2,149-￥15,001",16件のカスタマーレビュー,星5つ中の4.3,シューズ＆バッグ - 845位 (, 2019/4/6
B07CN7Z955,サンダル+レディース,[クロックス] シャワーサンダル クロックバンド 3.0 スライド,crocs(クロックス),"￥1,787-￥9,328",78件のカスタマーレビュー,星5つ中の3.9,シューズ＆バッグ - 153位 (, 2018/11/19
B07R4RHJ72,サンダル+レディース,[K&T] マリンシューズ ウォーターシューズ ビーチサンダル メンズ レディース キッズ 水陸両用 キャンプ 靴 海水浴 シューズ 釣り サンダル,K&T,"￥599-￥1,398",20件のカスタマーレビュー,星5つ中の4.3,シューズ＆バッグ - 448位 (, 2019/3/7
B07SB419ST,サンダル+レディース,[airupo] アイルポ 歩きやすく 疲れにくい シンプル レディース ビーチ サンダル,airupo,"￥1,500",16件のカスタマーレビュー,星5つ中の3.6,"シューズ＆バッグ - 2,874位 (", 2019/5/28
B01HAWVX88,サンダル+レディース,[パンジー] サンダル BB5303 レディース,Pansy(パンジー),"￥2,200-￥12,400",149件のカスタマーレビュー,星5つ中の4.2,"シューズ＆バッグ - 1,185位 (", 2010/11/24
B071R7YFH2,サンダル+レディース,Honel　レディース サンダル 歩きやすい アンクル ストラップ バックジップ 履きやすい 街歩き 滑り止め コンフォート　サンダル 靴 レディース ローヒール,Honel,￥659,20件のカスタマーレビュー,星5つ中の3.7,"ホビー - 125,282位 (", 2017/4/14
B01N8ODEHF,サンダル+レディース,[パルフェ] 5.5cmウェッジヒール 美脚ナースサンダル オフィスサンダル 17633 レディース,Parfait(パルフェ),"￥761-￥3,218",3件のカスタマーレビュー,星5つ中の4,"シューズ＆バッグ - 31,811位 (", 2016/12/4
B07SD4KSS5,サンダル+レディース,[MaxWant] サンダル フラットサンダル ビーチサンダル スリッパ レディース 夏 ペタンコ ローヒール 歩きやすい 痛くない かわいい,MaxWant,"￥1,580",63件のカスタマーレビュー,星5つ中の4.5,"シューズ＆バッグ - 2,126位 (", 2019/6/5
B07CN6CJLJ,サンダル+レディース,[クロックス] サンダル リバイバ スライド 205546,crocs(クロックス),"￥1,298-￥11,169",36件のカスタマーレビュー,星5つ中の4.3,"シューズ＆バッグ - 3,563位 (", 2019/3/25
B07T9YK6V3,サンダル+レディース,[HAFOS] サンダル レディース スポーツサンダル 厚底 ヒール ファッション メンズ 男女兼用 歩きやすい 水陸両用 美脚 (HUATENG) 22.5cm~27.0cm,HAFOS,"￥2,580",49件のカスタマーレビュー,星5つ中の3.7,"シューズ＆バッグ - 1,451位 (", 2019/6/23
B07Q3RK81D,サンダル+レディース,[JOYTO] 厚底サンダル ウエッジソール スエード調 レディース オープントゥ アンクルストラップサンダル ジッパー 7.5CM 歩きやすい 痛くない 前厚 軽量 疲れない カジュアル コンフォート 大きいサイズ,JOYTO,"￥799-￥2,665",16件のカスタマーレビュー,星5つ中の3.3,"シューズ＆バッグ - 36,483位 (", 2019/4/1
B07RJRNJCJ,サンダル+レディース,[Orktree] サンダル レディース 通勤 美脚 5cm オフィスサンダル 通勤 オフィス オシャレ カジュアル,Orktree,"￥1,880",32件のカスタマーレビュー,星5つ中の3.8,"シューズ＆バッグ - 3,794位 (", 2019/5/5
B07TSH96LP,サンダル+レディース,[Laferter] サンダル レディース 美脚 オフィスサンダル 通勤 オフィス オシャレ カジュアル,Laferter,"￥1,280-￥1,780",15件のカスタマーレビュー,星5つ中の4.3,"シューズ＆バッグ - 10,023位 (", 2019/6/3
B07PSF8FH5,サンダル+レディース,[Laprincesse] スポーツサンダル ウェッジソール メンズ レディース アウトドアストラップサンダル フラットサンダル 登山サンダル 厚底 ヒール コンフォートサンダル 黒 白 サンダル 歩きやすい かわいい 夏用,Laprincesse,"￥2,199",129件のカスタマーレビュー,星5つ中の4,シューズ＆バッグ - 372位 (, 2019/3/17
B0728CFDKQ,サンダル+レディース,（ハナハナ) HANAHAN 綿 細見せ 体型カバー 柔らか ロング マキシワンピース 夏 マタニティ ゆったり 楽ちん レディース 海 i030 (ブラック),（ハナハナ) HANAHANA,"￥1,960",17件のカスタマーレビュー,星5つ中の3,"ベビー＆マタニティ - 30,100位 (",2017/5/21
B07QKVT6G8,サンダル+レディース,[Z.SUO] ビーチサンダル マリンシューズ ウォーターシューズ 水陸両用 アクアシューズ シュノーケリング ビーチシューズ 軽量 通気 ヨガ サーフィン 人気,Z.SUO,"￥2,097-￥2,350",163件のカスタマーレビュー,星5つ中の4.8,"シューズ＆バッグ - 2,043位 (", 2019/8/18
B07VY982CN,サンダル+レディース,厚底 サンダル レディース シューズ おしゃれ ビーチサンダル ヒール 美脚 夏 スリッパ トングサンダル 歩きやすい 滑りにくい 軽量 靴,InSomila(インソミラ),"￥1,550",null,null,"服＆ファッション小物 - 27,601位 (", 2019/7/19
B005WW22DO,サンダル+レディース,[クロワッサン] サンダル CR4592 レディース,CROISSANT(クロワッサン),"￥3,350-￥5,580",71件のカスタマーレビュー,星5つ中の4,"シューズ＆バッグ - 5,410位 (", 2012/4/24
B077D83FP9,サンダル+レディース,[ブランアンジェ] ブランマルチ ナースサンダル レディース BA-blmulti 黒 白,Blanc Ange(ブランアンジェ),"￥2,580",7件のカスタマーレビュー,星5つ中の3.7,"シューズ＆バッグ - 4,832位 (", 2017/11/12
B0014C5RQK,サンダル+レディース,[クロックス] サンダル クラシック クロッグ 10001 (定番品),crocs(クロックス),"￥1,900-￥28,223",458件のカスタマーレビュー,星5つ中の4.3,シューズ＆バッグ - 108位 (, 2017/2/1
B00EC7N2KW,キャンメイク,キャンメイク マシュマロフィニッシュパウダー リフィルMO マットオークル 10g,キャンメイク,￥756,187件のカスタマーレビュー,星5つ中の4.5,ビューティー - 252位 (, 2013/8/5
B07QJ2LH6T,サンダル+レディース,[F-WIN] レディース安全靴ナースシューズ 高齢者シューズ 介護シューズ 歩行姿勢調整 矯正靴 メッシュ ベルクロ滑り止め 船型底 ウォーキングシューズ 厚底スニーカー 中高齢者靴 ママシューズ 看護師 作業靴,F-WIN,"￥1,390-￥2,380",17件のカスタマーレビュー,星5つ中の4.5,"シューズ＆バッグ - 3,178位 (", 2019/4/9
