ASIN,keyword,commodity_item,brandName,price,comments,star_level,ranking,DATE
B07N8V1ZYZ,山崎+ウイスキー,ジョニーウォーカー グリーンラベル15年 オリジナルロックグラス2個付ギフトボックス [ ウイスキー イギリス 700ml ] [ギフトBox入り],JOHNNIE WALKER(ジョニーウォーカー),"￥4,213",2件のカスタマーレビュー,星5つ中の3.5,"食品・飲料・お酒 - 3,057位 (",2018/4/22
B07KQMBHCJ,山崎+ウイスキー,山崎12年 ミニチュア 50ml 5本セット,山崎,"￥7,890",null,null,"食品・飲料・お酒 - 60,730位 (",2018/11/20
B0029ZEDZC,山崎+ウイスキー,サントリー シングルモルト ウイスキー 白州12年 [日本 700ml ],白州,"￥28,999",16件のカスタマーレビュー,星5つ中の4.2,"食品・飲料・お酒 - 47,970位 (",2009/5/15
B0195FQSEW,山崎+ウイスキー,ザ・グレンリベット ファウンダーズリザーブ シングルモルト グラス2個付き [ ウイスキー イギリス 700ml ] [ギフトBox入り],THE GLENLIVET (ザ・グレンリベット),"￥3,672",5件のカスタマーレビュー,星5つ中の4.1,"食品・飲料・お酒 - 15,111位 (",2017/12/20
B005Q8HGNU,山崎+ウイスキー,バランタイン 30年 新ボトル 木箱入り 700ml [並行輸入品],バランタイン,"￥26,650",5件のカスタマーレビュー,星5つ中の5,"食品・飲料・お酒 - 30,968位 (",2011/9/28
B001TZ3NCC,山崎+ウイスキー,シングルモルトウイスキー 山崎12年 【正規品 カートンなし】 [ ウイスキー 日本 700ml ],山崎,"￥49,270",null,null,"食品・飲料・お酒 - 632,487位 (",2018/5/10
B01FS7CUS4,山崎+ウイスキー,ウイスキー のみくらべセット 飲み比べ 5本 セット プレミアムソーダ 山崎 付 ギフト,ウイスキー,"￥3,980",2件のカスタマーレビュー,星5つ中の4.4,"食品・飲料・お酒 - 20,830位 (",2016/5/16
B0181PQCKM,山崎+ウイスキー,ライクイット(like-it) 製氷皿 俺の丸氷 直径60mm ブラック  日本製 STK-06,ライクイット(Like-it),￥369,352件のカスタマーレビュー,星5つ中の4.3,"ホーム＆キッチン - 1,276位 (","['68 g', '90.7 g', 'STK-06', 'B0181PQCKM', '2015/11/15', 'ホーム＆キッチン - 1,276位 (', ')']"
B07GF3MG2W,山崎+ウイスキー,シーバスリーガル 18年 [ ウイスキー イギリス 700ml ] [ギフトBox入り],Chivas Regal (シーバスリーガル),"￥5,250",24件のカスタマーレビュー,星5つ中の4.2,"食品・飲料・お酒 - 5,062位 (",2018/8/13
B00QDJAZ7U,山崎+ウイスキー,オールドパー シルバー 箱入り [ ウイスキー イギリス 750ml ],Old Parr(オールドパー),"￥2,624",6件のカスタマーレビュー,星5つ中の4.2,"食品・飲料・お酒 - 10,959位 (",2014/11/29
B07FNBC118,山崎+ウイスキー,カバラン ディスティラリーセレクト 700ml KAVALAN,カバラン,"￥4,728",7件のカスタマーレビュー,星5つ中の3.3,"食品・飲料・お酒 - 16,256位 (",2018/7/17
B00TSAH04M,山崎+ウイスキー,ザ・グレンリベット ファウンダーズリザーブ シングルモルト [ ウイスキー イギリス 700ml ] [ギフトBox入り],THE GLENLIVET (ザ・グレンリベット),"￥3,251",32件のカスタマーレビュー,星5つ中の3.9,"食品・飲料・お酒 - 50,096位 (",2016/11/16
B00ER0BSY6,山崎+ウイスキー,ジャックダニエル ブラック [ ウイスキー アメリカ合衆国 3000ml ],ジャックダニエル,"￥6,198",131件のカスタマーレビュー,星5つ中の4.2,食品・飲料・お酒 - 506位 (,2011/9/5
B072B7XD66,山崎+ウイスキー,山崎蒸溜所 仕込水割 オンザロック ウイスキー 12度 225ml (5本),山崎蒸溜所,"￥3,150",3件のカスタマーレビュー,星5つ中の2.4,"食品・飲料・お酒 - 64,831位 (",2015/4/21
B009RUOREE,山崎+ウイスキー,【バーテンダー支持No.1 スコッチウイスキー】デュワーズ 12年 [ ウイスキー イギリス 700ml ],DEWARS(デュワーズ),"￥2,372",71件のカスタマーレビュー,星5つ中の4,"食品・飲料・お酒 - 1,440位 (",2010/7/20
B0119BPS7S,山崎+ウイスキー,シングルモルト 余市 [ ウイスキー 日本 700ml ],余市,"￥5,589",66件のカスタマーレビュー,星5つ中の3.8,"食品・飲料・お酒 - 3,391位 (",2015/7/9
B00VHC4DQC,山崎+ウイスキー,サントリー山崎１８年白州１８年　飲み比べセット各１本,山崎,"￥137,800",null,null,"食品・飲料・お酒 - 243,397位 (",2015/4/1
B00BZQOTDW,山崎+ウイスキー,山崎シェリーカスク　700ml 2011 箱入り,山崎,"￥599,000",1 件のカスタマーレビュー,星5つ中の1,"食品・飲料・お酒 - 765,287位 (",2013/3/23
B00MIP3BEW,山崎+ウイスキー,シングルモルト ウイスキー ラフロイグ セレクトカスク [イギリス 700ml ],LAPHROAIG(ラフロイグ),"￥3,794",35件のカスタマーレビュー,星5つ中の4.2,"食品・飲料・お酒 - 3,495位 (",2014/6/22
